,file,files_cc
695,kafka-check-reassignment-status.sh,0
696,kafka-reassign-partitions.sh,0
697,CheckReassignmentStatus.scala,0
698,ReassignPartitionsCommand.scala,224
699,AdminCommandFailedException.scala,0
700,PartitionLeaderSelector.scala,0
701,kafka-preferred-replica-election.sh,0
702,PreferredReplicaLeaderElectionCommand.scala,0
703,ApiUtils.scala,12
704,LeaderAndIsrResponse.scala,0
705,ClientUtils.scala,0
706,CommandLineUtils.scala,32
707,Json.scala,18
708,metrics-annotation-3.0.1.jar,0
709,metrics-core-3.0.1.jar,0
710,kafka-console-consumer.bat,0
711,kafka-console-producer.bat,0
712,kafka-run-class.bat,0
713,kafka-server-start.bat,0
714,zookeeper-server-start.bat,0
715,sbt.bat,0
716,kafka-0.7.0.jar,0
717,kafka-perf-0.7.0.jar,0
718,zkclient-0.1.jar,0
719,migration_consumer.properties,0
720,migration_producer.properties,0
721,migration_tool_test.py,0
722,testcase_9001_properties.json,0
723,testcase_5002_properties.json,0
724,testcase_0151_properties.json,0
725,testcase_0152_properties.json,0
726,testcase_0153_properties.json,0
727,testcase_0154_properties.json,0
728,testcase_0155_properties.json,0
729,testcase_0156_properties.json,0
730,testcase_0157_properties.json,0
731,testcase_0158_properties.json,0
732,testcase_0201_properties.json,0
733,testcase_0202_properties.json,0
734,testcase_0203_properties.json,0
735,testcase_0204_properties.json,0
736,testcase_0205_properties.json,0
737,testcase_0206_properties.json,0
738,testcase_0207_properties.json,0
739,testcase_0208_properties.json,0
740,testcase_0251_properties.json,0
741,testcase_0252_properties.json,0
742,testcase_0253_properties.json,0
743,testcase_0254_properties.json,0
744,testcase_0255_properties.json,0
745,testcase_0256_properties.json,0
746,testcase_0257_properties.json,0
747,testcase_0258_properties.json,0
748,testcase_0301_properties.json,0
749,testcase_0302_properties.json,0
750,testcase_0303_properties.json,0
751,testcase_0304_properties.json,0
752,testcase_0305_properties.json,0
753,testcase_0306_properties.json,0
754,testcase_0307_properties.json,0
755,testcase_0308_properties.json,0
756,testcase_to_run_all.json,0
757,ShutdownBroker.scala,0
758,FileLock.scala,7
759,ConsumerIteratorTest.scala,0
760,testcase_9003_properties.json,0
761,testcase_9004_properties.json,0
762,testcase_9005_properties.json,0
763,testcase_9006_properties.json,0
764,testcase_5003_properties.json,0
765,testcase_5004_properties.json,0
766,testcase_5005_properties.json,0
767,testcase_5006_properties.json,0
768,testcase_0124_properties.json,0
769,testcase_0125_properties.json,0
770,testcase_0126_properties.json,0
771,testcase_0127_properties.json,0
